CustomerID,OrderID,Date,OrderTotal,ProductName,Price
8091,7742581,2021-07-26 14:40:10.783,95.0000,Z03,90.0000
902139,7742778,2021-08-08 05:01:21.120,60.0000,0844 A/C,60.0000
2300266,7742593,2021-07-27 11:00:16.020,185.0000,M07,90.0000
2300266,7742593,2021-07-27 11:00:16.020,185.0000,M09,90.0000
5173013,7742609,2021-07-28 14:26:13.930,165.0000,0324,160.0000
5370671,7742618,2021-07-28 15:59:23.153,255.0000,F06,125.0000
5370671,7742618,2021-07-28 15:59:23.153,255.0000,F08,125.0000
703804,7742619,2021-07-28 15:59:53.560,235.0000,1912,225.0000
5173438,7742673,2021-08-02 11:50:07.360,105.0000,0737,100.0000
5100595,7742681,2021-08-02 12:52:26.117,0.0000,Vendor ID Card,10.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3838,0.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3838,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3838,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3839,10.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3839,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3839,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3840,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3840,70.0000
5100595,7742682,2021-08-02 12:54:13.663,500.0000,3840,70.0000
22445,7742697,2021-08-03 10:08:09.250,0.0000,RR01,120.0000
22445,7742697,2021-08-03 10:08:09.250,0.0000,RR02,120.0000
8091,7791028,2021-12-20 10:28:25.920,10.0000,Vendor ID Card,10.0000
8091,7791029,2021-12-20 10:28:58.240,97.0000,Z03,90.0000
5415325,7791038,2021-12-20 16:10:59.700,232.0000,0744,100.0000
5415325,7791038,2021-12-20 16:10:59.700,232.0000,0602,125.0000
4302023,7791039,2021-12-20 16:20:52.460,260.0000,0102,250.0000
1907770,7791040,2021-12-20 18:28:46.107,260.0000,RR03,250.0000
5370110,7791044,2021-12-20 18:38:48.107,260.0000,0125,250.0000
5701,7742733,2021-08-05 11:39:37.370,0.0000,R13,180.0000
5701,7742734,2021-08-05 11:40:35.670,0.0000,RR07,120.0000
5173856,7742750,2021-08-06 13:02:58.030,215.0000,3827,70.0000
5173856,7742750,2021-08-06 13:02:58.030,215.0000,3827,70.0000
5173856,7742750,2021-08-06 13:02:58.030,215.0000,3827,70.0000
5173856,7742751,2021-08-06 13:05:35.160,210.0000,3828,70.0000
5173856,7742751,2021-08-06 13:05:35.160,210.0000,3828,70.0000
5173856,7742751,2021-08-06 13:05:35.160,210.0000,3828,70.0000
5100779,7742756,2021-08-06 15:33:47.553,75.0000,3315,70.0000
5701,7742841,2021-08-08 07:17:41.470,120.0000,RR06,120.0000
4302023,7401172,2017-11-02 14:01:55.030,65.0000,713,60.0000
900635,7401812,2017-11-12 13:57:09.413,90.0000,VV03,90.0000
1901506,7401813,2017-11-12 13:58:36.497,200.0000,0982,200.0000
1905380,7401875,2017-11-12 15:28:33.660,120.0000,0120,120.0000
5076,7401891,2017-11-13 10:22:54.677,245.0000,GG27,120.0000
5076,7401891,2017-11-13 10:22:54.677,245.0000,GG28,120.0000
5076,7401892,2017-11-13 10:23:33.393,10.0000,Vendor ID Card,10.0000
1500181,7401908,2017-11-13 10:38:21.610,95.0000,L14,90.0000
6192,7402476,2017-12-10 06:23:48.490,360.0000,0235,120.0000
6192,7402476,2017-12-10 06:23:48.490,360.0000,0235,120.0000
6192,7402476,2017-12-10 06:23:48.490,360.0000,0235,120.0000
3500018,7402511,2017-12-10 08:25:52.140,240.0000,8033,120.0000
3500018,7402511,2017-12-10 08:25:52.140,240.0000,8033,120.0000
1902406,7402518,2017-12-10 08:38:48.347,460.0000,3215,70.0000
1902406,7402518,2017-12-10 08:38:48.347,460.0000,3165,80.0000
